'FNODE_','TNODE_','LPOLY_','RPOLY_','LENGTH','WATERWGN_','WATERWGN_I','M','KODE','LV','CO','WT','ST','CL','TY','OMSCHR'
'1','2','0','0','996.443','1','26030','26030','26030','22','23','1','0','0','4','Sloot'
'2','3','0','0','4181.723','2','26040','26040','26040','23','23','2','0','0','4','Sloot'
'4','5','0','0','326.954','3','26030','26030','26030','22','23','1','0','0','4','Sloot'
'6','7','0','0','609.929','4','26040','26040','26040','23','23','2','0','0','4','Sloot'
'8','9','0','0','615.896','5','26040','26040','26040','23','23','2','0','0','4','Sloot'
'11','12','0','0','446.247','6','26040','26040','26040','23','23','2','0','0','4','Sloot'
'13','14','0','0','469.311','7','26060','26060','26060','0','0','0','0','0','0','Waterloop'
'15','4','0','0','3504.502','8','26030','26030','26030','22','23','1','0','0','4','Sloot'
'16','15','0','0','4538.169','9','26030','26030','26030','22','23','1','0','0','4','Sloot'
'17','10','0','0','1623.928','10','26040','26040','26040','23','23','2','0','0','4','Sloot'
'18','5','0','0','1966.191','11','26040','26040','26040','23','23','2','0','0','4','Sloot'
'19','17','0','0','442.925','12','26040','26040','26040','23','23','2','0','0','4','Sloot'
'18','19','0','0','3278.633','13','26040','26040','26040','23','23','2','0','0','4','Sloot'
'19','20','0','0','455.888','14','26040','26040','26040','23','23','2','0','0','4','Sloot'
'20','21','0','0','737.082','15','26040','26040','26040','23','23','2','0','0','4','Sloot'
'21','22','0','0','3105.293','16','26030','26030','26030','22','23','1','0','0','4','Sloot'
'23','18','0','0','1418.507','17','26040','26040','26040','23','23','2','0','0','4','Sloot'
'24','23','0','0','291.709','18','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'15','24','0','0','1999.608','19','26030','26030','26030','22','23','1','0','0','4','Sloot'
'25','25','0','0','799.674','20','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'24','26','0','0','1433.551','21','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'27','20','0','0','4241.372','22','26030','26030','26030','22','23','1','0','0','4','Sloot'
'23','28','0','0','2211.963','23','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'29','30','0','0','783.603','24','26030','26030','26030','22','23','1','0','0','4','Sloot'
'31','32','0','0','251.881','25','26090','26090','26090','25','16','5','0','0','4','Waterloop 5 < 40m.'
'33','34','0','0','1424.763','26','26030','26030','26030','22','23','1','0','0','4','Sloot'
'35','36','0','0','373.916','27','26030','26030','26030','22','23','1','0','0','4','Sloot'
'37','38','0','0','2483.018','28','26030','26030','26030','22','23','1','0','0','4','Sloot'
'39','34','0','0','881.712','29','26030','26030','26030','22','23','1','0','0','4','Sloot'
'41','40','0','0','1272.171','30','26030','26030','26030','22','23','1','0','0','4','Sloot'
'39','41','0','0','761.852','31','26030','26030','26030','22','23','1','0','0','4','Sloot'
'34','39','0','0','4615.630','32','26030','26030','26030','22','23','1','0','0','4','Sloot'
'42','32','0','0','2533.567','33','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'40','43','0','0','1153.431','34','26030','26030','26030','22','23','1','0','0','4','Sloot'
'32','44','0','0','2380.548','35','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'42','45','0','0','1652.060','36','26040','26040','26040','23','23','2','0','0','4','Sloot'
'42','45','0','0','1240.509','37','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'46','44','0','0','1071.441','38','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'41','47','0','0','1764.103','39','26030','26030','26030','22','23','1','0','0','4','Sloot'
'48','44','0','0','663.549','40','26040','26040','26040','23','23','2','0','0','4','Sloot'
'45','46','0','0','4703.073','41','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'49','50','0','0','972.172','42','26030','26030','26030','22','23','1','0','0','4','Sloot'
'51','52','0','0','2038.130','43','26030','26030','26030','22','23','1','0','0','4','Sloot'
'53','54','0','0','4599.649','44','26040','26040','26040','23','23','2','0','0','4','Sloot'
'46','55','0','0','2125.495','45','26040','26040','26040','23','23','2','0','0','4','Sloot'
'56','56','0','0','698.909','46','26110','26110','26110','21','22','1','0','0','4','Oeverlijn / Klein water'
'57','58','0','0','536.362','47','26030','26030','26030','22','23','1','0','0','4','Sloot'
'59','60','0','0','1273.546','48','26030','26030','26030','22','23','1','0','0','4','Sloot'
'62','63','0','0','445.883','49','26030','26030','26030','22','23','1','0','0','4','Sloot'
'64','65','0','0','196.296','50','26030','26030','26030','22','23','1','0','0','4','Sloot'
'66','67','0','0','162.649','51','26040','26040','26040','23','23','2','0','0','4','Sloot'
'68','69','0','0','706.036','52','26030','26030','26030','22','23','1','0','0','4','Sloot'
'61','70','0','0','444.086','53','26040','26040','26040','23','23','2','0','0','4','Sloot'
'71','72','0','0','183.812','54','26030','26030','26030','22','23','1','0','0','4','Sloot'
'73','66','0','0','715.091','55','26040','26040','26040','23','23','2','0','0','4','Sloot'
'74','75','0','0','1429.664','56','26030','26030','26030','22','23','1','0','0','4','Sloot'
'76','77','0','0','674.700','57','26030','26030','26030','22','23','1','0','0','4','Sloot'
'78','79','0','0','846.318','58','26030','26030','26030','22','23','1','0','0','4','Sloot'
'73','80','0','0','352.597','59','26040','26040','26040','23','23','2','0','0','4','Sloot'
'80','74','0','0','989.030','60','26040','26040','26040','23','23','2','0','0','4','Sloot'
'43','81','0','0','5855.936','61','26030','26030','26030','22','23','1','0','0','4','Sloot'
'82','83','0','0','237.635','62','26040','26040','26040','23','23','2','0','0','4','Sloot'
'84','85','0','0','276.311','63','26040','26040','26040','23','23','2','0','0','4','Sloot'
'86','87','0','0','727.839','64','26030','26030','26030','22','23','1','0','0','4','Sloot'
'88','89','0','0','1031.581','65','26030','26030','26030','22','23','1','0','0','4','Sloot'
'90','91','0','0','612.653','66','26040','26040','26040','23','23','2','0','0','4','Sloot'
'92','93','0','0','799.707','67','26030','26030','26030','22','23','1','0','0','4','Sloot'
'94','80','0','0','1702.172','68','26040','26040','26040','23','23','2','0','0','4','Sloot'
'95','96','0','0','307.775','69','26040','26040','26040','23','23','2','0','0','4','Sloot'
'97','98','0','0','598.276','70','26030','26030','26030','22','23','1','0','0','4','Sloot'
'99','100','0','0','596.992','71','26040','26040','26040','23','23','2','0','0','4','Sloot'
'101','102','0','0','2079.194','72','26030','26030','26030','22','23','1','0','0','4','Sloot'
'103','104','0','0','1086.313','73','26030','26030','26030','22','23','1','0','0','4','Sloot'
'104','105','0','0','606.442','74','26030','26030','26030','22','23','1','0','0','4','Sloot'
'106','107','0','0','837.484','75','26030','26030','26030','22','23','1','0','0','4','Sloot'
'108','109','0','0','476.734','76','26030','26030','26030','22','23','1','0','0','4','Sloot'
'110','111','0','0','127.612','77','26040','26040','26040','23','23','2','0','0','4','Sloot'
'112','66','0','0','4976.423','78','26040','26040','26040','23','23','2','0','0','4','Sloot'
'113','114','0','0','222.372','79','26040','26040','26040','23','23','2','0','0','4','Sloot'
'115','104','0','0','2269.323','80','26030','26030','26030','22','23','1','0','0','4','Sloot'
'116','117','0','0','770.451','81','26030','26030','26030','22','23','1','0','0','4','Sloot'
'118','119','0','0','1130.833','82','26040','26040','26040','23','23','2','0','0','4','Sloot'
'120','121','0','0','388.979','83','26030','26030','26030','22','23','1','0','0','4','Sloot'
